Row,C11,C21,C31,C41,C51,C61,C22,C32,C42,C52,C62,C33,C43,C53,C63,C44,C54,C64,C55,C65,C66
006_073,0.243475,0.115741,0.115780,0.000048,0.000071,-0.000052,0.243729,0.115826,0.000042,0.000042,-0.000074,0.243762,0.000094,0.000067,-0.000060,0.100187,-0.000070,0.000054,0.100233,0.000086,0.100210
006_074,0.246288,0.116719,0.116758,0.000134,0.000186,-0.000131,0.246585,0.116813,0.000127,0.000130,-0.000184,0.246634,0.000201,0.000157,-0.000141,0.101221,-0.000145,0.000138,0.101275,0.000161,0.101240
006_075,0.249295,0.117791,0.117795,0.000031,0.000189,-0.000034,0.249590,0.117839,0.000019,0.000028,-0.000197,0.249652,0.000214,0.000046,-0.000053,0.102335,-0.000232,0.000215,0.102384,0.000244,0.102345
006_076,0.255053,0.119816,0.119844,0.000137,0.000283,-0.000115,0.255134,0.119855,0.000136,0.000134,-0.000276,0.255332,0.000343,0.000127,-0.000123,0.104086,-0.000322,0.000313,0.104118,0.000359,0.104093
006_077,0.259400,0.121381,0.121413,0.000168,0.000352,-0.000199,0.259401,0.121399,0.000167,0.000178,-0.000352,0.259486,0.000368,0.000168,-0.000198,0.105600,-0.000414,0.000403,0.105616,0.000411,0.105615
006_078,0.262052,0.122264,0.122339,0.000233,0.000425,-0.000256,0.262019,0.122304,0.000227,0.000223,-0.000417,0.262169,0.000446,0.000240,-0.000253,0.106465,-0.000494,0.000491,0.106492,0.000511,0.106512
006_079,0.264702,0.122976,0.123035,0.000282,0.000451,-0.000303,0.264844,0.123035,0.000275,0.000268,-0.000456,0.264935,0.000462,0.000289,-0.000318,0.107374,-0.000547,0.000530,0.107419,0.000543,0.107416
006_080,0.267517,0.124046,0.124031,0.000078,0.000392,-0.000102,0.267791,0.124109,0.000082,0.000077,-0.000406,0.267816,0.000394,0.000092,-0.000120,0.108392,-0.000456,0.000442,0.108444,0.000446,0.108400
006_081,0.271468,0.125257,0.125267,0.000131,0.000427,-0.000165,0.271618,0.125291,0.000120,0.000148,-0.000393,0.271670,0.000360,0.000153,-0.000168,0.109628,-0.000465,0.000476,0.109651,0.000428,0.109629
006_082,0.276191,0.126722,0.126736,0.000161,0.000500,-0.000163,0.276419,0.126784,0.000172,0.000169,-0.000485,0.276496,0.000492,0.000173,-0.000169,0.111141,-0.000500,0.000506,0.111177,0.000496,0.111145
006_083,0.280463,0.128088,0.128056,0.000280,0.000555,-0.000294,0.280680,0.128103,0.000290,0.000302,-0.000540,0.280611,0.000525,0.000303,-0.000306,0.112464,-0.000519,0.000530,0.112476,0.000503,0.112441
006_084,0.283410,0.128932,0.128921,0.000286,0.000546,-0.000296,0.283560,0.128938,0.000271,0.000283,-0.000537,0.283467,0.000522,0.000304,-0.000301,0.113373,-0.000490,0.000494,0.113377,0.000476,0.113365
006_085,0.287441,0.130485,0.130606,0.000067,0.000571,-0.000091,0.287489,0.130497,0.000088,0.000097,-0.000594,0.287645,0.000582,0.000090,-0.000090,0.114747,-0.000521,0.000501,0.114764,0.000510,0.114756
006_086,0.290912,0.131774,0.131880,0.000059,0.000479,-0.000106,0.290998,0.131782,0.000089,0.000103,-0.000505,0.291162,0.000484,0.000097,-0.000101,0.115919,-0.000399,0.000369,0.115929,0.000379,0.115922
006_087,0.295677,0.133484,0.133472,0.000085,0.000391,-0.000091,0.295853,0.133508,0.000083,0.000102,-0.000403,0.295807,0.000399,0.000093,-0.000094,0.117392,-0.000357,0.000331,0.117409,0.000343,0.117369
006_088,0.299217,0.134555,0.134578,0.000137,0.000317,-0.000151,0.299423,0.134596,0.000170,0.000154,-0.000334,0.299494,0.000347,0.000149,-0.000164,0.118442,-0.000302,0.000278,0.118472,0.000301,0.118440
006_089,0.304957,0.136534,0.136642,0.000060,0.000330,-0.000071,0.304774,0.136477,0.000065,0.000056,-0.000340,0.304985,0.000356,0.000071,-0.000067,0.120217,-0.000287,0.000266,0.120201,0.000287,0.120259
