Row,C11,C21,C31,C41,C51,C61,C22,C32,C42,C52,C62,C33,C43,C53,C63,C44,C54,C64,C55,C65,C66
001_050,0.706738,0.233313,0.233352,-0.000059,0.000031,0.000034,0.706888,0.233379,-0.000068,-0.000039,-0.000019,0.707091,0.000001,-0.000059,0.000031,0.203264,-0.000010,0.000023,0.203286,-0.000001,0.203281
001_051,0.726758,0.243167,0.243203,0.000116,0.000235,-0.000124,0.726727,0.243195,0.000106,0.000100,-0.000218,0.726898,0.000217,0.000118,-0.000124,0.209655,-0.000152,0.000175,0.209669,0.000155,0.209681
001_052,0.749117,0.254682,0.254679,-0.000004,0.000098,-0.000008,0.749124,0.254680,-0.000005,-0.000003,-0.000098,0.749111,0.000096,-0.000000,-0.000006,0.216682,-0.000114,0.000114,0.216680,0.000113,0.216678
001_053,0.771184,0.266008,0.266034,-0.000069,-0.000214,0.000058,0.771183,0.266034,-0.000072,-0.000058,0.000218,0.771314,-0.000248,-0.000057,0.000052,0.223520,0.000209,-0.000204,0.223531,-0.000233,0.223529
001_054,0.791398,0.277216,0.277229,-0.000237,-0.000514,0.000191,0.793344,0.277621,-0.000257,-0.000311,0.000308,0.793430,-0.000349,-0.000255,0.000167,0.230599,0.000279,-0.000434,0.230782,-0.000300,0.230607
001_055,0.821371,0.292183,0.292299,-0.000036,0.000104,0.000025,0.820991,0.292219,-0.000045,-0.000028,-0.000067,0.821543,0.000108,-0.000022,0.000031,0.238572,-0.000105,0.000145,0.238570,0.000151,0.238610
001_056,0.846722,0.305825,0.305838,0.000017,-0.000177,-0.000060,0.846638,0.305819,0.000025,0.000039,0.000166,0.846695,-0.000182,0.000022,-0.000059,0.246110,0.000124,-0.000125,0.246100,-0.000128,0.246122
001_057,0.863740,0.315012,0.315012,-0.000001,-0.000144,-0.000032,0.863761,0.315015,0.000007,0.000009,0.000141,0.863809,-0.000153,0.000007,-0.000029,0.251709,0.000108,-0.000100,0.251735,-0.000109,0.251767
001_058,0.882844,0.325258,0.325298,0.000121,0.000188,-0.000128,0.882871,0.325310,0.000113,0.000111,-0.000195,0.883060,0.000177,0.000102,-0.000129,0.257599,-0.000132,0.000135,0.257637,0.000119,0.257603
001_059,0.898562,0.333827,0.333866,0.000146,0.000174,-0.000156,0.898740,0.333906,0.000149,0.000162,-0.000154,0.898919,0.000133,0.000166,-0.000155,0.262576,-0.000098,0.000116,0.262620,0.000081,0.262598
001_060,0.914203,0.342164,0.342216,0.000096,0.000103,-0.000077,0.914156,0.342198,0.000092,0.000094,-0.000097,0.914381,0.000084,0.000080,-0.000075,0.267210,-0.000058,0.000057,0.267220,0.000039,0.267247
001_061,0.931255,0.351412,0.351423,-0.000181,-0.000007,0.000187,0.931538,0.351476,-0.000169,-0.000157,0.000028,0.931642,-0.000063,-0.000148,0.000192,0.272185,0.000030,-0.000006,0.272209,-0.000074,0.272183
001_062,0.945788,0.359267,0.359228,-0.000035,0.000126,-0.000005,0.945976,0.359273,-0.000017,0.000015,-0.000110,0.945886,0.000066,0.000017,-0.000011,0.276702,-0.000085,0.000106,0.276708,0.000044,0.276659
001_063,0.957574,0.365609,0.365609,0.000189,0.000157,-0.000189,0.957574,0.365609,0.000189,0.000189,-0.000157,0.957574,0.000157,0.000189,-0.000189,0.280225,-0.000099,0.000099,0.280225,0.000099,0.280225
001_064,0.973907,0.374476,0.374472,-0.000039,-0.000034,0.000073,0.973856,0.374472,-0.000052,-0.000046,0.000054,0.973867,-0.000038,-0.000037,0.000076,0.285272,0.000036,-0.000020,0.285275,-0.000026,0.285259
001_065,0.986692,0.381485,0.381493,-0.000114,-0.000149,0.000079,0.986836,0.381540,-0.000103,-0.000124,0.000143,0.986886,-0.000150,-0.000137,0.000081,0.289230,0.000114,-0.000105,0.289294,-0.000115,0.289239
001_066,0.997654,0.387410,0.387413,-0.000074,-0.000081,0.000076,0.997627,0.387410,-0.000069,-0.000069,0.000088,0.997654,-0.000081,-0.000074,0.000076,0.292410,0.000056,-0.000049,0.292410,-0.000049,0.292403
001_067,1.012691,0.395588,0.395563,0.000113,0.000125,-0.000120,1.012644,0.395537,0.000105,0.000111,-0.000132,1.012512,0.000118,0.000110,-0.000125,0.296667,-0.000116,0.000111,0.296627,0.000104,0.296667
001_068,1.024438,0.401920,0.401982,-0.000008,-0.000135,-0.000048,1.024220,0.401920,0.000002,0.000002,0.000107,1.024438,-0.000135,-0.000008,-0.000048,0.300146,0.000130,-0.000141,0.300146,-0.000141,0.300201
001_069,1.035858,0.408217,0.408223,0.000007,-0.000019,-0.000011,1.035900,0.408229,0.000008,0.000015,0.000025,1.035942,-0.000032,0.000016,-0.000013,0.303384,0.000026,-0.000019,0.303384,-0.000034,0.303384
001_070,1.046090,0.413709,0.413786,0.000089,0.000046,-0.000087,1.045826,0.413722,0.000087,0.000093,-0.000009,1.046184,0.000033,0.000099,-0.000088,0.306414,0.000034,0.000003,0.306417,-0.000013,0.306446
001_071,1.058197,0.420396,0.420396,-0.000072,0.000077,0.000072,1.058197,0.420396,-0.000072,-0.000072,-0.000077,1.058197,0.000077,-0.000072,0.000072,0.310059,-0.000092,0.000092,0.310059,0.000092,0.310059
001_072,1.070002,0.426839,0.426874,0.000080,0.000130,-0.000096,1.069989,0.426867,0.000085,0.000093,-0.000131,1.070161,0.000110,0.000090,-0.000096,0.313409,-0.000104,0.000104,0.313414,0.000088,0.313423
001_073,1.080569,0.432669,0.432673,-0.000040,-0.000078,0.000035,1.080540,0.432669,-0.000034,-0.000034,0.000076,1.080569,-0.000078,-0.000040,0.000035,0.316460,0.000074,-0.000075,0.316460,-0.000075,0.316466
001_074,1.092729,0.439186,0.439277,0.000135,0.000094,-0.000122,1.092410,0.439206,0.000134,0.000141,-0.000057,1.092878,0.000085,0.000135,-0.000114,0.319886,-0.000010,0.000042,0.319876,0.000034,0.319927
